UserId,Recommendation 1,Recommendation 2,Recommendation 3
1,17.0,13.0,8.0
2,17.0,13.0,8.0
3,17.0,13.0,8.0
4,17.0,13.0,8.0
5,17.0,13.0,8.0
6,17.0,13.0,8.0
7,17.0,13.0,8.0
8,17.0,13.0,6.0
9,17.0,8.0,13.0
10,13.0,17.0,8.0
11,17.0,13.0,8.0
12,13.0,17.0,8.0
13,17.0,13.0,8.0
14,17.0,13.0,8.0
15,13.0,17.0,8.0
16,17.0,13.0,8.0
17,17.0,13.0,8.0
18,17.0,13.0,8.0
19,13.0,17.0,8.0
20,17.0,13.0,6.0
21,17.0,13.0,8.0
22,17.0,13.0,8.0
23,13.0,17.0,6.0
24,17.0,13.0,8.0
25,17.0,13.0,8.0
26,17.0,13.0,8.0
27,17.0,13.0,5.0
28,17.0,13.0,8.0
29,17.0,13.0,8.0
30,17.0,13.0,8.0
31,17.0,13.0,8.0
32,17.0,13.0,5.0
33,17.0,13.0,8.0
34,17.0,13.0,6.0
35,17.0,13.0,8.0
36,17.0,13.0,8.0
37,17.0,13.0,8.0
38,17.0,13.0,5.0
39,13.0,17.0,5.0
40,17.0,13.0,6.0
41,17.0,13.0,5.0
42,17.0,13.0,8.0
43,17.0,13.0,8.0
44,17.0,13.0,5.0
45,17.0,13.0,5.0
46,13.0,17.0,8.0
47,17.0,13.0,8.0
48,17.0,13.0,8.0
49,17.0,13.0,5.0
50,17.0,6.0,5.0
51,17.0,13.0,8.0
52,17.0,13.0,8.0
53,17.0,13.0,6.0
54,17.0,13.0,6.0
55,17.0,13.0,8.0
56,13.0,17.0,8.0
57,17.0,5.0,6.0
58,17.0,13.0,8.0
59,17.0,13.0,8.0
60,17.0,13.0,8.0
61,17.0,13.0,5.0
62,17.0,13.0,5.0
63,17.0,13.0,5.0
64,17.0,13.0,8.0
65,17.0,13.0,8.0
66,17.0,13.0,8.0
67,17.0,6.0,13.0
68,17.0,13.0,5.0
69,17.0,13.0,8.0
70,13.0,17.0,5.0
71,17.0,13.0,5.0
72,17.0,13.0,6.0
73,17.0,13.0,6.0
74,13.0,17.0,8.0
75,17.0,13.0,5.0
76,17.0,13.0,8.0
77,17.0,13.0,8.0
78,13.0,17.0,8.0
79,13.0,17.0,8.0
80,13.0,17.0,8.0
81,13.0,17.0,5.0
82,13.0,17.0,8.0
83,13.0,17.0,8.0
84,17.0,6.0,13.0
85,13.0,17.0,8.0
86,13.0,17.0,8.0
87,13.0,17.0,8.0
88,13.0,17.0,8.0
89,13.0,17.0,8.0
90,13.0,17.0,8.0
91,13.0,17.0,8.0
92,13.0,17.0,6.0
93,13.0,17.0,8.0
94,17.0,13.0,5.0
95,13.0,17.0,8.0
96,13.0,17.0,8.0
97,13.0,17.0,8.0
98,13.0,17.0,5.0
99,13.0,17.0,8.0
100,13.0,17.0,8.0
101,13.0,17.0,8.0
102,13.0,17.0,8.0
103,13.0,17.0,8.0
104,13.0,17.0,8.0
105,17.0,13.0,5.0
106,13.0,17.0,8.0
107,17.0,13.0,8.0
108,13.0,17.0,8.0
109,17.0,6.0,13.0
110,17.0,13.0,5.0
111,13.0,17.0,8.0
112,13.0,17.0,8.0
113,13.0,17.0,8.0
114,13.0,17.0,8.0
115,13.0,17.0,6.0
116,13.0,17.0,8.0
117,13.0,17.0,8.0
118,17.0,13.0,8.0
119,13.0,17.0,8.0
120,13.0,17.0,8.0
121,13.0,17.0,8.0
122,13.0,17.0,8.0
123,13.0,17.0,8.0
124,13.0,17.0,8.0
125,13.0,17.0,5.0
126,13.0,17.0,8.0
127,13.0,17.0,8.0
128,13.0,17.0,8.0
129,13.0,17.0,8.0
130,13.0,17.0,8.0
131,13.0,17.0,8.0
132,17.0,13.0,5.0
133,13.0,17.0,8.0
134,13.0,17.0,5.0
135,17.0,13.0,8.0
136,17.0,13.0,5.0
137,17.0,13.0,5.0
138,17.0,13.0,8.0
139,17.0,13.0,5.0
140,17.0,5.0,13.0
141,17.0,13.0,8.0
142,17.0,13.0,8.0
143,17.0,13.0,5.0
144,17.0,13.0,5.0
145,17.0,13.0,5.0
146,17.0,13.0,8.0
147,17.0,6.0,13.0
148,17.0,13.0,8.0
149,17.0,13.0,8.0
150,17.0,13.0,8.0
151,17.0,13.0,5.0
152,17.0,13.0,8.0
153,13.0,17.0,5.0
154,17.0,13.0,5.0
155,17.0,8.0,13.0
156,17.0,13.0,8.0
157,17.0,6.0,5.0
158,17.0,13.0,5.0
159,13.0,17.0,5.0
160,17.0,6.0,5.0
161,17.0,6.0,5.0
162,13.0,17.0,5.0
163,17.0,5.0,6.0
164,17.0,13.0,8.0
165,17.0,13.0,5.0
166,17.0,6.0,5.0
167,17.0,6.0,5.0
168,17.0,13.0,5.0
169,17.0,13.0,5.0
170,17.0,13.0,8.0
171,17.0,6.0,5.0
172,17.0,13.0,5.0
173,17.0,6.0,5.0
174,17.0,13.0,8.0
175,17.0,6.0,5.0
176,17.0,6.0,5.0
177,17.0,5.0,13.0
178,17.0,13.0,8.0
179,13.0,17.0,5.0
180,17.0,13.0,5.0
181,17.0,13.0,5.0
182,13.0,17.0,5.0
183,17.0,13.0,8.0
184,17.0,5.0,13.0
185,17.0,13.0,8.0
186,17.0,6.0,5.0
187,13.0,17.0,5.0
188,13.0,17.0,5.0
189,17.0,13.0,5.0
190,17.0,13.0,8.0
191,17.0,13.0,5.0
192,17.0,13.0,6.0
193,17.0,13.0,8.0
194,17.0,13.0,8.0
195,17.0,5.0,13.0
196,17.0,13.0,8.0
197,17.0,13.0,8.0
198,17.0,13.0,5.0
199,17.0,13.0,8.0
200,17.0,13.0,8.0
201,17.0,6.0,5.0
202,17.0,6.0,5.0
203,17.0,13.0,5.0
204,17.0,5.0,6.0
205,17.0,13.0,5.0
206,8.0,13.0,17.0
207,17.0,13.0,5.0
208,17.0,13.0,6.0
209,8.0,13.0,17.0
210,17.0,13.0,8.0
211,17.0,13.0,5.0
212,17.0,13.0,6.0
213,13.0,17.0,8.0
214,17.0,13.0,6.0
215,13.0,17.0,6.0
216,17.0,13.0,6.0
217,13.0,17.0,6.0
218,13.0,17.0,6.0
219,13.0,17.0,6.0
220,5.0,17.0,6.0
221,17.0,6.0,5.0
222,17.0,13.0,5.0
223,17.0,5.0,6.0
224,17.0,6.0,5.0
225,17.0,5.0,6.0
226,17.0,5.0,6.0
227,5.0,17.0,13.0
228,17.0,5.0,6.0
229,17.0,5.0,13.0
230,17.0,5.0,6.0
231,17.0,5.0,6.0
232,17.0,6.0,5.0
233,17.0,5.0,6.0
234,5.0,17.0,13.0
235,17.0,6.0,5.0
236,17.0,5.0,6.0
237,17.0,5.0,6.0
238,17.0,6.0,5.0
239,17.0,5.0,6.0
240,17.0,5.0,6.0
241,17.0,5.0,6.0
242,6.0,17.0,5.0
243,17.0,5.0,6.0
244,17.0,5.0,6.0
245,17.0,6.0,5.0
246,17.0,5.0,6.0
247,17.0,5.0,6.0
248,17.0,6.0,5.0
249,5.0,17.0,13.0
250,5.0,17.0,13.0
251,17.0,5.0,6.0
252,17.0,5.0,6.0
253,17.0,5.0,6.0
254,17.0,5.0,13.0
255,17.0,6.0,5.0
256,17.0,5.0,13.0
257,17.0,5.0,6.0
258,17.0,5.0,6.0
259,17.0,5.0,6.0
260,17.0,5.0,6.0
261,17.0,5.0,6.0
262,17.0,5.0,13.0
263,17.0,5.0,6.0
264,17.0,5.0,6.0
265,17.0,5.0,6.0
266,17.0,6.0,5.0
267,17.0,5.0,6.0
268,17.0,6.0,5.0
269,17.0,5.0,6.0
270,17.0,5.0,6.0
271,17.0,5.0,6.0
272,17.0,5.0,6.0
273,17.0,5.0,6.0
274,17.0,5.0,6.0
275,17.0,5.0,6.0
276,17.0,5.0,6.0
277,17.0,5.0,6.0
278,5.0,17.0,13.0
279,21.0,11.0,10.0
280,17.0,6.0,5.0
281,17.0,6.0,5.0
282,6.0,5.0,17.0
283,17.0,5.0,6.0
284,6.0,17.0,5.0
285,17.0,5.0,13.0
286,6.0,17.0,5.0
287,17.0,5.0,6.0
288,5.0,17.0,6.0
289,17.0,5.0,6.0
290,5.0,17.0,6.0
291,17.0,5.0,6.0
292,17.0,5.0,13.0
293,17.0,6.0,5.0
294,17.0,5.0,6.0
295,17.0,6.0,5.0
296,5.0,17.0,13.0
297,17.0,5.0,6.0
298,17.0,5.0,13.0
299,17.0,5.0,13.0
300,10.0,21.0,5.0
301,6.0,17.0,5.0
302,6.0,17.0,5.0
303,17.0,6.0,11.0
304,6.0,17.0,5.0
305,17.0,6.0,4.0
306,17.0,6.0,5.0
307,17.0,6.0,5.0
308,17.0,5.0,6.0
309,17.0,13.0,5.0
310,17.0,6.0,5.0
311,17.0,6.0,4.0
312,17.0,5.0,6.0
313,6.0,17.0,5.0
314,6.0,17.0,13.0
315,17.0,6.0,13.0
316,6.0,4.0,13.0
317,17.0,6.0,5.0
318,17.0,6.0,5.0
319,6.0,5.0,17.0
320,17.0,6.0,5.0
321,17.0,6.0,5.0
322,4.0,17.0,6.0
323,4.0,17.0,6.0
324,17.0,6.0,13.0
325,4.0,17.0,6.0
326,17.0,6.0,5.0
327,17.0,5.0,6.0
328,4.0,17.0,6.0
329,17.0,6.0,5.0
330,6.0,17.0,5.0
331,6.0,17.0,5.0
332,5.0,6.0,17.0
333,6.0,17.0,5.0
334,17.0,13.0,5.0
335,13.0,5.0,6.0
336,,,
337,6.0,13.0,5.0
338,17.0,6.0,5.0
339,6.0,5.0,17.0
340,17.0,6.0,13.0
341,,,
342,17.0,5.0,6.0
343,,,
344,17.0,13.0,5.0
345,6.0,1.0,8.0
346,13.0,17.0,5.0
347,17.0,13.0,5.0
348,6.0,5.0,17.0
349,17.0,13.0,5.0
350,6.0,17.0,5.0
351,17.0,6.0,13.0
352,17.0,13.0,5.0
353,17.0,13.0,5.0
354,13.0,5.0,6.0
355,5.0,17.0,6.0
356,13.0,17.0,5.0
357,17.0,13.0,6.0
358,17.0,13.0,5.0
359,5.0,13.0,17.0
360,17.0,6.0,5.0
361,13.0,5.0,6.0
362,6.0,13.0,5.0
363,5.0,13.0,6.0
364,17.0,13.0,5.0
365,17.0,13.0,5.0
366,17.0,5.0,6.0
367,13.0,5.0,6.0
368,17.0,13.0,5.0
369,17.0,6.0,5.0
370,17.0,13.0,5.0
371,17.0,13.0,5.0
372,17.0,6.0,13.0
373,5.0,13.0,17.0
374,17.0,13.0,5.0
375,17.0,13.0,5.0
376,13.0,5.0,6.0
377,17.0,13.0,5.0
378,17.0,13.0,6.0
